codigo_pais,pais,anio,vab_manuf_pib,vab_manuf_const,empleo_ind_pct,exp_manuf_pct,poblacion,var_vab,var_empleo,var_exp
DE,Alemania,2014,20.1102373285709,683371984757.371,28.0851666953054,83.6405453982071,80982500,1.7721772570819638,1.2959778103868613,0.2955713472559518
GB,Reino Unido,2014,9.44084101572958,270404508785.367,18.9586861473393,68.2496476290818,64619000,-1.6384847295646265,0.5679590672394097,16.637511282906893
US,Estados Unidos,2014,11.6174420373125,NA,19.8362096579529,61.4220021445613,319257560,-1.3121979539985507,0.16646897108567593,0.3885903552750314
AR,Argentina,2015,14.1815854549835,84344878153.7785,22.3689252873984,28.1591258919034,43477012,-4.001908593094905,-1.8686250796999038,-9.925570883849065
BR,Brasil,2015,10.5209374571105,189609619123.365,22.8198148101811,34.8651659700771,201675532,1.778449536645521,-3.1977624122239257,8.347380239446277
CN,China,2015,28.3889960582852,3202510065357,29.2998175326072,94.3003313730696,1379860000,-4.830847497980217,-2.0087977242196797,0.31531318556605736
DE,Alemania,2015,20.1379643216943,689745331150.39,27.6242257343991,84.234696360734,81686611,0.13787501693980353,-1.641225654478129,0.710362372337725
GB,Reino Unido,2015,9.38451755587091,276428461923.508,18.6426121900538,71.6481714245796,65087000,-0.5965936696193497,-1.6671722651511844,4.979547753810887
US,Estados Unidos,2015,11.6055807430427,2123243202000,19.678506704267,63.7146529670619,321815121,-0.10209901828392987,-0.7950256445422799,3.732621442564965
AR,Argentina,2016,13.4880259708051,79620603665.3784,21.5725405836968,25.6479861222021,43900313,-4.890563797538439,-3.560227831554552,-8.917676561911069
BR,Brasil,2016,10.7864511144495,180570885170.63,21.3696192250729,36.1209000742178,203218114,2.523669192231104,-6.354984022312015,3.6016868676845837
CN,China,2016,27.5237594259275,NA,29.6444492814543,93.7167028020422,1387790000,-3.047788764989401,1.176224897863487,-0.618904051056246
DE,Alemania,2016,20.4130244960425,716594754413.469,27.33707604136,84.8253434781644,82348669,1.3658787450123722,-1.039485036793364,0.7011921962666756
GB,Reino Unido,2016,9.13168940843145,273464487311.534,18.4621197618818,76.1812352703602,65606000,-2.694098507826781,-0.9681713395738312,6.326838153228143
US,Estados Unidos,2016,11.1581029329942,NA,19.6004288978866,63.2604946594473,324353340,-3.8557123504289303,-0.39676692725606477,-0.7128004100554142
AR,Argentina,2017,12.8351683415363,81670094128.5958,21.1329975687179,27.6743405207163,44288894,-4.840275594678678,-2.0375115915233333,7.900637456911652
BR,Brasil,2017,10.7214980093214,184741245436.438,20.9444754522106,34.8248260736675,204703445,-0.6021730821279103,-1.9894775306219747,-3.588155328043452
CN,China,2017,27.5998559245177,NA,29.9706060456204,93.511711476449,1396215000,0.2764756711196803,1.1002287850567116,-0.21873510213672454
DE,Alemania,2017,20.092676209306,740325302652.816,27.408028435384,86.3191108266153,82657002,-1.5693327894580555,0.25954639009913016,1.7609918064586783
